,Aryatara Ashtottarashata Nama Stotr,Aryataranamaskaraikavimshati Stotra 2,Aryataranamaskaraikavimshati Stotra,Aryatarasragdhara Stotram,Dakshaprokta Kali Stuti,Dakshinakalika Sahasranama Stotram,Devi Mahatmyam or Durga Saptashati,Gitanjali (1),Gitanjali,Kali Stava Brahmakritam,M00363 - AryamaJjuzrImUlakalpam part 1,M00364 - AryamaJjuzrImUlakalpam part 2,M00365 - AryamaJjuzrImUlakalpam part 3,Mahogratara Stuti,Mahogratarashtaka Stotram,Nairatmashtaka Stotram,Part of bhagavatIpadyapuShpA~njalIs,Prajnaparamita Stotram,Shri Kali Sahasranama Stotram 2,Shri Kali Sahasranama Stotram,Shri Kali Shatanama Stotram,Shri Kali Tandava Stotram,Shri Mahishasuramardini Ashtottaras,Shri Nila Sarasvati Stotram 2,Shri Nila Sarasvati Stotram,Shri Tara Sahasranama Stotram 3,Shri Tara Shatanama Stotram,Shri Tara Takaradi Sahasranamastotr,Shri Tarashatanama Stotram,Shrimad Ugratara Hridayastotram,Tara Stotram or Tara Ashtakam or Sh,Tarashatanamastotra from Brihannila,The-Charypada (1),The-Charypada,Vajradevi Stotram,Vajrayoginipranamaikavishika,Vajrayoginyah Pindartha Stuti,Vasudhara Stotram,arya tara stutih,charyapada_core,durgAstutiH Essence of devI mAhAtmy,gitanjali_bengali_clean,hevajra 1,hevajra sadhana,lalan fakir,ramprasad_sen_ocr,sa_mArkaNDeyapurANa1-93,shrItArAdhyAnam,tArAkavacham,tArAsahasranamastotra from Brihanni
Shri Mahishasuramardini Ashtottaras,0.32567349252085653,0.38616132912996504,0.38616132912996504,0.26923076265328966,0.1943871738062811,0.2888926932894493,0.0,0.0,0.0,0.18937815125013718,0.0,0.0,0.0,0.2471732349129464,0.20698832618566432,0.18993296291768288,0.0,0.2361594333009961,0.3295462397034461,0.3295462397034461,0.19506255076979387,0.22245200671944793,1.0000000000000002,0.0,0.0,0.32689428598775944,0.25579994629146136,0.2556954606046925,0.24135064650870194,0.34758457481183214,0.2434115881495812,0.2865070680999083,0.0,0.0,0.26694781928629896,0.20735334815100354,0.2051997840690275,0.0,0.20249741125612464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1707570299835775,0.31406732202110915,0.3264898981732267
Shri Nila Sarasvati Stotram 2,0.0,0.0,0.0,0.0,0.0,0.0,0.3340105053808103,0.33542225852790747,0.33663491938697837,0.0,0.1948301915261623,0.19362715387247112,0.20258437565550305,0.0,0.0,0.0,0.3992612497242028,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999997,0.999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3305863341096647,0.3305863341096647,0.0,0.0,0.0,0.4284413631874675,0.0,0.0,0.4084880156068252,0.0,0.2194048914593334,0.20525451605197748,0.0,0.0,0.21152035750727186,0.0,0.0,0.0
Shri Nila Sarasvati Stotram,0.0,0.0,0.0,0.0,0.0,0.0,0.3340105053808103,0.33542225852790747,0.33663491938697837,0.0,0.1948301915261623,0.19362715387247112,0.20258437565550305,0.0,0.0,0.0,0.3992612497242028,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999997,0.999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3305863341096647,0.3305863341096647,0.0,0.0,0.0,0.4284413631874675,0.0,0.0,0.4084880156068252,0.0,0.2194048914593334,0.20525451605197748,0.0,0.0,0.21152035750727186,0.0,0.0,0.0
Shri Tara Sahasranama Stotram 3,0.6454485011114421,0.4924856219273145,0.4924856219273145,0.6363632614246534,0.4863255143777593,0.7668836212798442,0.0,0.0,0.0,0.404233519063052,0.0,0.0,0.0,0.4435901271730588,0.48990377430678683,0.3539765480117777,0.0,0.44636439312852405,0.813204356335022,0.813204356335022,0.5088166057637112,0.3046457964510559,0.32689428598775944,0.0,0.0,0.9999999999999986,0.6334885996766306,0.7426013520592988,0.5135924786230902,0.5535730026141465,0.5567514602613349,0.6554078384267676,0.0,0.0,0.5069807841088251,0.3742846074072528,0.48840080815694764,0.0,0.40526296976626247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42033573633816546,0.6065822122057009,0.8333168053772974
Shri Tara Shatanama Stotram,0.5224334698613552,0.42689038894156434,0.42689038894156434,0.49864951538745494,0.4367761277247178,0.5406389067713739,0.0,0.0,0.0,0.34481541053048287,0.0,0.0,0.0,0.4169789808890092,0.40788320380251814,0.3123956199996366,0.0,0.34733257961244896,0.5758511509239729,0.5758511509239729,0.45095763733560296,0.27345579114825913,0.25579994629146136,0.0,0.0,0.6334885996766306,1.0000000000000009,0.5585181009779849,0.5168806166250292,0.4947193814341149,0.42764629616195976,0.5409726187163966,0.0,0.0,0.4072801921757412,0.3124049330506005,0.3832881677719024,0.0,0.30011137493200163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3645780090374753,0.5030191031835077,0.6202208740852706
Shri Tara Takaradi Sahasranamastotr,0.5691588153789535,0.4554879350570792,0.4554879350570792,0.6059611762843381,0.4497761359665206,0.6796533104537316,0.0,0.0,0.0,0.39303114080915164,0.0,0.0,0.0,0.36360460666070243,0.4443907908534234,0.3134063671682601,0.0,0.39781327327738514,0.7134765824324935,0.7134765824324935,0.46477105400061475,0.26430564938565376,0.2556954606046925,0.0,0.0,0.7426013520592988,0.5585181009779849,1.0000000000000007,0.4638326227100721,0.479092443495738,0.48192611406738406,0.5528156034234771,0.0,0.0,0.44785020917780277,0.3188134127414318,0.42888786518415345,0.0,0.38438996297883404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3938343970787022,0.5079784862453284,0.7130340018501198
Shri Tarashatanama Stotram,0.4506485170659867,0.3747920182609298,0.3747920182609298,0.4059278267813014,0.38381975089863346,0.4879860703760222,0.0,0.0,0.0,0.3175673602838905,0.0,0.0,0.0,0.3536124287981129,0.3747261949440297,0.28614668962840434,0.0,0.30983022099724933,0.5103698297907923,0.5103698297907923,0.49868455211890145,0.24400557117773855,0.24135064650870194,0.0,0.0,0.5135924786230902,0.5168806166250292,0.4638326227100721,1.000000000000006,0.41979978972217735,0.4081561247722802,0.4778470668505386,0.0,0.0,0.3611354707757969,0.2653878554769039,0.39590224510511746,0.0,0.3169194575709357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2875400088352647,0.42928302824027786,0.534194658273606
Shrimad Ugratara Hridayastotram,0.5635623887245867,0.47780047397960096,0.47780047397960096,0.541281475844894,0.46758038038813177,0.45196131100478387,0.0,0.0,0.0,0.37347915177479313,0.0,0.0,0.0,0.44864580942976223,0.44694557938027374,0.3762585067695872,0.0,0.42958182599749106,0.5412953435773183,0.5412953435773183,0.4021673937496253,0.3065529145312007,0.34758457481183214,0.0,0.0,0.5535730026141465,0.4947193814341149,0.479092443495738,0.41979978972217735,0.9999999999999998,0.4969239302668691,0.5539972033025155,0.0,0.0,0.44180930737507845,0.3249431889681608,0.3782122141624144,0.0,0.3460534135692636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4191455519862355,0.5538937902682911,0.5623474814776928
Tara Stotram or Tara Ashtakam or Sh,0.6110299841852622,0.48890669378294266,0.48890669378294266,0.6023838704694572,0.44628843919148237,0.4879128585978754,0.0,0.0,0.0,0.3652246725548748,0.0,0.0,0.0,0.47584500980047484,0.8147934821169212,0.33440475368182276,0.0,0.47965379529880153,0.5522251786161045,0.5522251786161045,0.420312692513472,0.3594601822692756,0.2434115881495812,0.0,0.0,0.5567514602613349,0.42764629616195976,0.48192611406738406,0.4081561247722802,0.4969239302668691,0.9999999999999999,0.5583940973413619,0.0,0.0,0.43753748259965214,0.3509890131082101,0.4160352672694558,0.0,0.38299919452166803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40692205163336403,0.5416235646634874,0.5784232403945613
Tarashatanamastotra from Brihannila,0.5974417240931446,0.4539184925821771,0.4539184925821771,0.5777947737604782,0.4691335112057808,0.5956606757509786,0.0,0.0,0.0,0.37572176046817335,0.0,0.0,0.0,0.45502206137499535,0.506825008741629,0.3456118348299842,0.0,0.45233724654131285,0.6615438824850792,0.6615438824850792,0.47094013334314133,0.26796353188883565,0.2865070680999083,0.0,0.0,0.6554078384267676,0.5409726187163966,0.5528156034234771,0.4778470668505386,0.5539972033025155,0.5583940973413619,0.9999999999999998,0.0,0.0,0.46230738035810864,0.33840179683283045,0.45385761735124114,0.0,0.37700279693119193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3459052721874139,0.5731682668734948,0.7256464057159078
The-Charypada (1),0.0,0.0,0.0,0.0,0.0,0.0,0.3747129124439499,0.7557254645051098,0.753400950641107,0.0,0.2121045309007831,0.21093222616847113,0.21444295253663967,0.0,0.0,0.0,0.6118186717811724,0.0,0.0,0.0,0.0,0.0,0.0,0.3305863341096647,0.3305863341096647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999999,0.999999999999999,0.0,0.0,0.0,0.2024556247533551,0.0,0.0,0.5051088202145531,0.0,0.20117348940088375,0.17430208966714517,0.0,0.0,0.2364925883475895,0.0,0.0,0.0
The-Charypada,0.0,0.0,0.0,0.0,0.0,0.0,0.3747129124439499,0.7557254645051098,0.753400950641107,0.0,0.2121045309007831,0.21093222616847113,0.21444295253663967,0.0,0.0,0.0,0.6118186717811724,0.0,0.0,0.0,0.0,0.0,0.0,0.3305863341096647,0.3305863341096647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999999999999999,0.999999999999999,0.0,0.0,0.0,0.2024556247533551,0.0,0.0,0.5051088202145531,0.0,0.20117348940088375,0.17430208966714517,0.0,0.0,0.2364925883475895,0.0,0.0,0.0
Vajradevi Stotram,0.5079801162256546,0.38614231455756964,0.38614231455756964,0.4888285383243284,0.4039416423288461,0.48153182588001436,0.0,0.0,0.0,0.3660534327058541,0.0,0.0,0.0,0.3810447599734834,0.3894513568423309,0.5100303192649391,0.0,0.4059943424301888,0.5269314941383434,0.5269314941383434,0.36909039791129883,0.2755437443850455,0.26694781928629896,0.0,0.0,0.5069807841088251,0.4072801921757412,0.44785020917780277,0.3611354707757969,0.44180930737507845,0.43753748259965214,0.46230738035810864,0.0,0.0,0.9999999999999981,0.455543938923294,0.517254732295937,0.0,0.29266373651780936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4087864032349237,0.46750137295570904,0.5259155595368726
Vajrayoginipranamaikavishika,0.4249119828560315,0.38516538529670113,0.38516538529670113,0.3969276720919739,0.3449681954880576,0.35776916611736487,0.0,0.0,0.0,0.29950097077002713,0.0,0.0,0.0,0.3111718450375449,0.31550420907335774,0.27605133848439856,0.0,0.3911666883149589,0.37389813248231957,0.37389813248231957,0.26266568840689786,0.2208064756241908,0.20735334815100354,0.0,0.0,0.3742846074072528,0.3124049330506005,0.3188134127414318,0.2653878554769039,0.3249431889681608,0.3509890131082101,0.33840179683283045,0.0,0.0,0.455543938923294,0.9999999999999996,0.5103093111536313,0.0,0.27538382943967354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2414759017866215,0.33243509974611407,0.37338477851963237
Vajrayoginyah Pindartha Stuti,0.4821114738520446,0.35915053618657633,0.35915053618657633,0.4530925812305742,0.40944997741913636,0.46336552789417895,0.0,0.0,0.0,0.2993178541046505,0.0,0.0,0.0,0.3796546421995739,0.3963612640500443,0.33347237149830583,0.0,0.34405359551328807,0.4768637687535409,0.4768637687535409,0.36368622995439553,0.2831699800368851,0.2051997840690275,0.0,0.0,0.48840080815694764,0.3832881677719024,0.42888786518415345,0.39590224510511746,0.3782122141624144,0.4160352672694558,0.45385761735124114,0.0,0.0,0.517254732295937,0.5103093111536313,0.9999999999999997,0.0,0.33436115521762166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2843391925490448,0.412292238456409,0.4849582311602248
Vasudhara Stotram,0.0,0.0,0.0,0.0,0.0,0.0,0.18983611343869594,0.17617537345565787,0.1804904484015822,0.0,0.11874097362512079,0.11672864862161116,0.1220893895274736,0.0,0.0,0.0,0.25720044476094434,0.0,0.0,0.0,0.0,0.0,0.0,0.4284413631874675,0.4284413631874675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024556247533551,0.2024556247533551,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.2554846183112928,0.0,0.13148173352030232,0.12141088004190546,0.0,0.0,0.1332610771052656,0.0,0.0,0.0
arya tara stutih,0.4113319695492321,0.4253939634110906,0.4253939634110906,0.5243743833527225,0.34536298409505783,0.3918417333617876,0.0,0.0,0.0,0.38808414789517925,0.0,0.0,0.0,0.33626787076654807,0.3744635923793416,0.16674560558479928,0.0,0.34276645087167934,0.41558022187880705,0.41558022187880705,0.30814758767436856,0.2938462805685283,0.20249741125612464,0.0,0.0,0.40526296976626247,0.30011137493200163,0.38438996297883404,0.3169194575709357,0.3460534135692636,0.38299919452166803,0.37700279693119193,0.0,0.0,0.29266373651780936,0.27538382943967354,0.33436115521762166,0.0,1.0000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3174260963914799,0.3463761839595117,0.4019991119394877
charyapada_core,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.0,0.26482905582447586,0.0,0.0,0.28946524684514524,0.32871762547281363,0.0,0.0,0.0,0.0
durgAstutiH Essence of devI mAhAtmy,0.0,0.0,0.0,0.0,0.0,0.0,0.39916886337788077,0.5108793640992573,0.5169234890569122,0.0,0.18204352054234407,0.18339431212425905,0.18686677017136294,0.0,0.0,0.0,0.6247524702478654,0.0,0.0,0.0,0.0,0.0,0.0,0.4084880156068252,0.4084880156068252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5051088202145531,0.5051088202145531,0.0,0.0,0.0,0.2554846183112928,0.0,0.0,0.9999999999999982,0.0,0.18318663467223725,0.1699368540731126,0.0,0.0,0.2128079991995409,0.0,0.0,0.0
gitanjali_bengali_clean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26482905582447586,0.0,1.0000000000000209,0.0,0.0,0.7718002858240021,0.762380074000986,0.0,0.0,0.0,0.0
hevajra 1,0.0,0.0,0.0,0.0,0.0,0.0,0.5091374788149662,0.16188748945766,0.17373975759797333,0.0,0.629314295468582,0.6266448499569546,0.6256156839627607,0.0,0.0,0.0,0.22600962128739602,0.0,0.0,0.0,0.0,0.0,0.0,0.2194048914593334,0.2194048914593334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20117348940088375,0.20117348940088375,0.0,0.0,0.0,0.13148173352030232,0.0,0.0,0.18318663467223725,0.0,1.0000000000000022,0.574723923632797,0.0,0.0,0.6094326299454116,0.0,0.0,0.0
hevajra sadhana,0.0,0.0,0.0,0.0,0.0,0.0,0.38341772113553957,0.13226798772343867,0.14121066254114772,0.0,0.4346521074672619,0.4304117100915504,0.4363361361562401,0.0,0.0,0.0,0.18003578332679346,0.0,0.0,0.0,0.0,0.0,0.0,0.20525451605197748,0.20525451605197748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17430208966714517,0.17430208966714517,0.0,0.0,0.0,0.12141088004190546,0.0,0.0,0.1699368540731126,0.0,0.574723923632797,0.9999999999999984,0.0,0.0,0.43421556422381274,0.0,0.0,0.0
lalan fakir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28946524684514524,0.0,0.7718002858240021,0.0,0.0,1.0000000000000002,0.8825586675454344,0.0,0.0,0.0,0.0
ramprasad_sen_ocr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32871762547281363,0.0,0.762380074000986,0.0,0.0,0.8825586675454344,0.9999999999999991,0.0,0.0,0.0,0.0
sa_mArkaNDeyapurANa1-93,0.0,0.0,0.0,0.0,0.0,0.0,0.7161948614831342,0.22227430956515717,0.23460684638487578,0.0,0.911532773457922,0.9072596700158094,0.8952763964807066,0.0,0.0,0.0,0.2508069005629528,0.0,0.0,0.0,0.0,0.0,0.0,0.21152035750727186,0.21152035750727186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2364925883475895,0.2364925883475895,0.0,0.0,0.0,0.1332610771052656,0.0,0.0,0.2128079991995409,0.0,0.6094326299454116,0.43421556422381274,0.0,0.0,1.000000000000019,0.0,0.0,0.0
shrItArAdhyAnam,0.3986301391721742,0.35868688460705567,0.35868688460705567,0.4291733635755935,0.36177534242810655,0.3791593907022365,0.0,0.0,0.0,0.33200577262571734,0.0,0.0,0.0,0.3198020452346352,0.3927936016624532,0.3332393498236705,0.0,0.29153569628440135,0.4296515515147928,0.4296515515147928,0.2896129418409658,0.3166781912228432,0.1707570299835775,0.0,0.0,0.42033573633816546,0.3645780090374753,0.3938343970787022,0.2875400088352647,0.4191455519862355,0.40692205163336403,0.3459052721874139,0.0,0.0,0.4087864032349237,0.2414759017866215,0.2843391925490448,0.0,0.3174260963914799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.38786808522837424,0.4365694265865131
tArAkavacham,0.5963866993848616,0.46334995925926564,0.46334995925926564,0.5716697565338517,0.4394445492380292,0.5156676566190452,0.0,0.0,0.0,0.36584470596919244,0.0,0.0,0.0,0.5144464879387302,0.48849792240988826,0.35530346464108037,0.0,0.40756871375258835,0.5855675103912017,0.5855675103912017,0.4190719920022277,0.2788171446011414,0.31406732202110915,0.0,0.0,0.6065822122057009,0.5030191031835077,0.5079784862453284,0.42928302824027786,0.5538937902682911,0.5416235646634874,0.5731682668734948,0.0,0.0,0.46750137295570904,0.33243509974611407,0.412292238456409,0.0,0.3463761839595117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38786808522837424,0.999999999999998,0.639588489715283
tArAsahasranamastotra from Brihanni,0.6746866409687116,0.4826289583170674,0.4826289583170674,0.6415146968849844,0.501457239827587,0.8280981623687977,0.0,0.0,0.0,0.41019477184653513,0.0,0.0,0.0,0.44972592620339125,0.5015700241055482,0.37662637005575617,0.0,0.434439055404775,0.8674703011302476,0.8674703011302476,0.5672456894457898,0.31513091847969843,0.3264898981732267,0.0,0.0,0.8333168053772974,0.6202208740852706,0.7130340018501198,0.534194658273606,0.5623474814776928,0.5784232403945613,0.7256464057159078,0.0,0.0,0.5259155595368726,0.37338477851963237,0.4849582311602248,0.0,0.4019991119394877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4365694265865131,0.639588489715283,0.9999999999999993
